Dataset	Experiment ID	Experiment Tag	MS Runs	Spectra Searched	Spectra ID'd	%Spectra ID'd	Distinct Peptides	Unique Peptides	Added Peptides	Cumulative Peptides	Distinct Canonical Proteins	Unique Canonical Proteins	Unique All Proteins	Added Canonical Proteins	Cumulative Canonical Proteins	Date Added	Pubmed Id or DOI	Instrument Name	Sample Category
PrePX191	5020	Hs_4plex_phospho	63	460,635	123,334	26.77 %	19,172	171	19,169	19,169	2,635			2,635	2,635	2012-07-10	21983960	LTQ Orbitrap Velos	Non Cancer Cell Lines
PrePX191	5352	Hs_4plex_phospho_ETD	20	82,703	2,216	2.68 %	1,430	5	69	19,238	198		1	8	2,643	2013-07-01	21983960	LTQ Orbitrap Velos	Non Cancer Cell Lines
prePX252	5026	HS_iPOP_PBMC2011_SerumProteomics_r1	15	149,499	44,048	29.46 %	8,229	15	7,980	27,218	383		3	324	2,967	2012-07-09	22424236	LTQ Orbitrap Velos	Blood Plasma
prePX252	5029	HS_iPOP_PBMC2011_SerumProteomics_r2	15	156,380	46,160	29.52 %	8,820	12	1,484	28,702	397			41	3,008	2012-07-09	22424236	LTQ Orbitrap Velos	Blood Plasma
prePX252	5042	HS_iPOP_PBMC2011_SerumProteomics_r3	15	144,158	43,280	30.02 %	8,420	13	777	29,479	387		2	27	3,035	2012-07-09	22424236	LTQ Orbitrap Velos	Blood Plasma
PXD000089,RPXD000669	5304	Hs_CRC_N_phospho	29	229,266	29,882	13.03 %	9,658	85	6,552	36,031	1,479		1	702	3,737	2013-04-10	23312004	LTQ Orbitrap Velos	Cancer, Digestive System
PXD000089,RPXD000669	5305	Hs_CRC_T_phospho	30	256,126	41,785	16.31 %	12,433	116	4,111	40,142	2,005		2	392	4,129	2013-04-10	23312004	LTQ Orbitrap Velos	Cancer, Digestive System
PXD000089,RPXD000669	5351	Hs_SW_SILAC_HL	50	471,724	62,409	13.23 %	26,075	188	21,029	61,171	2,683			1,053	5,182	2013-04-10	23312004	LTQ Orbitrap Velos	Cancer Cell Lines, Digestive System
PXD000089,RPXD000669	5350	Hs_SW_SILAC_LH	25	241,530	67,673	28.02 %	27,579	224	7,247	68,418	2,733		2	247	5,429	2013-04-10	23312004	LTQ Orbitrap Velos	Cancer Cell Lines, Digestive System
PXD000089,RPXD000669	6517	Hs_CRC_iTRAQ_HCD	30	386,226	172,928	44.77 %	64,157	37	41,692	110,110	5,318		10	1,675	7,104	2015-08-26	23312004	LTQ Orbitrap Velos	Cancer, Digestive System
PXD000089,RPXD000669	6545	Hs_CRC_iTRAQ_ITCID	30	386,226	123,581	32.00 %	46,285	9	1,336	111,446	4,458		2	39	7,143	2015-08-26	23312004	LTQ Orbitrap Velos	Cancer, Digestive System
PXD000089,RPXD000669	6518	Hs_HCT116_iTRAQ_HCD	34	409,047	185,119	45.26 %	67,523	86	21,292	132,738	5,223		11	663	7,806	2015-08-26	23312004	LTQ Orbitrap Velos	Cancer Cell Lines, Digestive System
PXD000089,RPXD000669	6555	Hs_HCT116_iTRAQ_ITCID	34	409,047	134,269	32.82 %	48,994	20	892	133,630	4,453		6	23	7,829	2015-08-26	23312004	LTQ Orbitrap Velos	Cancer Cell Lines, Digestive System
PXD000309	6076	Hs_BreastCancer	814	15,212,490	1,707,186	11.22 %	66,208	847	24,788	158,418	5,012		11	359	8,188	2013-07-22	22414580	LTQ Orbitrap	Cancer, Breast
PXD000004	6421	Hs_PFrontalCortex_Silac	15	360,894	214,494	59.43 %	24,801	78	8,841	167,259	1,716		2	262	8,450	2014-12-29	22942359	Q Exactive	Brain
